review_id,claim_id,claim_family_id,review_set,claim_level,claim_type,claim_text,short_claim_text,target,feature_family,feature_space,pipeline,atlas,dataset,cohort,roi,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,n_samples,n_features,support_regions,support_metrics_short,overall_label,stability_label,transfer_label,evidence_spearman,support_jaccard,direction_retention_source_support,transfer_auc_oriented,transfer_spearman_corr,related_experiment_ids,reviewer_id,reviewer_type,reviewer_specialty,plausibility_1_5,clarity_1_5,faithfulness_1_5,usefulness_1_5,reviewer_confidence_1_5,caution_level,recommended_action,corrected_claim_text,reviewer_comments
REV0001,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,llm_extended,composite,diagnosis_contrast,"AD is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CN, after adjustment for age, sex.","AD is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,,,,,,,lower,mean_abs_t,10.546128951545162,,,,,1104,68,,,stable_and_transferable,stable,strong,0.8747184792151772,0.8181818181818182,1,0.7794241284915825,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,5,5,5,stable,accept,,
REV0002,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd_composite_main,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd,llm_extended,composite,age_association,"Older age is associated with altered Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.","Older age is associated with altered Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.",age,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,AIBL_baseline,pooled,,,,,,,altered,mean_abs_t,4.7609346912471375,,,,,1298,202,,,fragile,moderate,insufficient,0.8999999999999998,1,0.6,,,E5_FS8_THICKNESS_ATLAS_SENSITIVITY; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,3,3,4,2,4,tentative,minor_revise,"Older age is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.", 'Altered' is non-specific.
REV0003,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad,llm_extended,composite,diagnosis_contrast,"AD is associated with lower subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_ad_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,8.286137751181068,,,,,660,64,,,stable_and_transferable,stable,strong,0.9809940174873448,0.1428571428571428,1,0.8837495544091634,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,1,5,5,5,5,reject,reject,"AD is associated with higher subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.",Ventricles/CSF space expand in neurodegeneration; 'lower volume' is incorrect.
REV0004,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3_composite_main,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,llm_extended,composite,diagnosis_contrast,"AD is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels compared with CN, after adjustment for age, sex, education.","AD is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,,,,,,,lower,mean_abs_t,14.293053887392452,,,,,1554,202,,,stable_and_transferable,stable,strong,0.8928571428571429,0.6,1,0.8132431379398369,,E3_FS8_VS_SPM_THICKNESS_DRIFT,gemini_3_1_pro,llm,llm,4,5,5,5,5,stable,accept,,
REV0005,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,llm_extended,composite,diagnosis_contrast,"AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,11.867281428402489,,,,,660,68,,,stable_and_transferable,stable,strong,0.8775150462088591,0.052631579,0.84375,0.7794241284915825,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,5,5,5,stable,accept,,
REV0006,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0,llm_extended,composite,mmse_association,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age, sex.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age, sex.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,,,,,,,higher,mean_abs_t,11.337641059855477,,,,,1291,68,,,stable_and_transferable,stable,moderate,0.9082337672252546,0.6666666666666666,1,,0.2978303970666699,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,4,4,5,stable,accept,,
REV0007,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18_composite_main,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18,llm_extended,composite,cdr_impairment_contrast,"CDR-defined cognitive impairment is associated with lower subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.",diagnosis_binary_impairment_cdr,volume,fs8_subcortical_volume,freesurfer8,subcortical,OASIS1_baseline,pooled,,,,,,,lower,mean_abs_t,4.287116403488893,,,,,235,64,,,stable_and_transferable,stable,strong,0.8906627963231737,0.8181818181818182,1,0.7974074074074075,,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,1,5,5,5,4,reject,reject,"CDR-defined cognitive impairment is associated with higher subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.",Ventricles/CSF space expand in neurodegeneration; 'lower volume' is incorrect.
REV0008,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881_composite_main,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,llm_extended,composite,diagnosis_contrast,"MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.","MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.",diagnosis_binary_mci_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,AIBL_baseline,pooled,,,,,,,altered,mean_abs_t,4.817938317582505,,,,,1131,64,,,stable_and_transferable,stable,moderate,0.8654855039116431,0.6,1,0.6571208851751527,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,3,3,4,2,4,tentative,minor_revise,"MCI is associated with lower subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.", 'Altered' is non-specific.
REV0009,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def_composite_main,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,llm_extended,composite,mmse_association,"Higher MMSE is associated with higher Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for age, sex, education.","Higher MMSE is associated with higher Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for age, sex, education.",mmse,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,,,,,,,higher,mean_abs_t,16.06565628808095,,,,,2892,202,,,stable_and_transferable,stable,strong,0.9642857142857144,0.5384615384615384,1,,0.4319838449947505,E3_FS8_VS_SPM_THICKNESS_DRIFT,gemini_3_1_pro,llm,llm,5,5,5,5,5,stable,accept,,
REV0010,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb_composite_main,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,llm_extended,composite,mmse_association,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and frontal regions, after adjustment for age, sex, education.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and frontal regions, after adjustment for age, sex, education.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,,,,,,,higher,mean_abs_t,4.879636707,,,,,235,68,,,stable_and_transferable,stable,strong,0.7649349162117799,0.6666666666666666,1,,0.392566855,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,5,5,4,stable,accept,,
